config_name,pair,total_capital,profit,profit_percent,bot_total_volume,bot_current_profit,bot_current_profit_percent,avaiable_capital,max_amount_for_bot_usage,max_safety_order_price_deviation,total_deals,highest_so,avg_so,backtest_start,backtest_end
euphoria,SOLUSDT,1180.9,10.9,0.93,121.72,-6.52,-5.36,1065.7,1170,44.6,38,7,0.97,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,LUNAUSDT,1184.98,14.98,1.28,37.5,-1.46,-3.89,1148.94,1170,44.6,37,7,0.92,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,AVAXUSDT,1170.03,0.03,0.0,215.51,-12.32,-5.72,966.84,1170,44.6,24,6,1.12,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ADAUSDT,1084.72,-85.28,-7.29,666.87,-87.19,-13.07,505.04,1170,44.6,12,2,0.67,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ATOMUSDT,1169.84,-0.16,-0.01,215.51,-13.39,-6.21,967.72,1170,44.6,24,6,1.08,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ROSEUSDT,1194.95,24.95,2.13,68.12,-2.18,-3.2,1129.01,1170,44.6,54,8,0.91,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,SANDUSDT,1165.58,-4.42,-0.38,215.51,-13.79,-6.4,963.86,1170,44.6,22,6,1.0,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,APEUSDT,1213.71,43.71,3.74,121.72,-1.78,-1.46,1093.77,1170,44.6,161,5,0.73,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,DOTUSDT,1127.71,-42.29,-3.61,379.64,-45.89,-12.09,793.96,1170,44.6,16,3,0.81,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,LTCUSDT,1171.59,1.59,0.14,121.72,-6.22,-5.11,1056.09,1170,44.6,16,6,1.06,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,TRXUSDT,1165.52,-4.48,-0.38,215.51,-11.4,-5.29,961.41,1170,44.6,16,6,0.75,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,OCEANUSDT,1190.94,20.94,1.79,68.12,-2.48,-3.64,1125.3,1170,44.6,47,7,0.96,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,SHIBUSDT,1187.34,17.34,1.48,68.12,-2.29,-3.36,1121.51,1170,44.6,50,6,0.94,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,DOGEUSDT,1192.2,22.2,1.9,121.72,-5.29,-4.35,1075.77,1170,44.6,91,5,0.77,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,CRVUSDT,1187.37,17.37,1.48,68.12,-2.53,-3.71,1121.78,1170,44.6,51,7,0.9,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,NEARUSDT,1213.99,43.99,3.76,68.12,-3.52,-5.17,1149.39,1170,44.6,142,6,0.87,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,RUNEUSDT,1202.61,32.61,2.79,121.72,-5.54,-4.55,1086.43,1170,44.6,72,8,1.01,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ZILUSDT,781.63,-388.37,-33.19,1169.52,-402.16,-34.39,14.27,1170,44.6,54,5,0.63,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,MATICUSDT,1183.23,13.23,1.13,37.5,-1.47,-3.92,1147.2,1170,44.6,29,6,1.21,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,FTTUSDT,1172.3,2.3,0.2,121.72,-5.0,-4.11,1055.58,1170,44.6,16,5,1.0,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,XRPUSDT,1161.28,-8.72,-0.75,215.51,-13.42,-6.23,959.19,1170,44.6,12,5,1.0,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,UNIUSDT,1098.82,-71.18,-6.08,666.87,-75.15,-11.27,507.1,1170,44.6,18,3,0.89,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,LINKUSDT,1095.91,-74.09,-6.33,666.87,-75.88,-11.38,504.92,1170,44.6,11,2,0.73,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,VETUSDT,1066.65,-103.35,-8.83,666.87,-110.6,-16.58,510.38,1170,44.6,25,4,0.88,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,AAVEUSDT,1199.45,29.45,2.52,37.5,-1.0,-2.67,1162.95,1170,44.6,69,6,0.94,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,CHZUSDT,1188.55,18.55,1.59,68.12,-2.86,-4.2,1123.29,1170,44.6,45,6,1.27,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,FTMUSDT,1166.87,-3.13,-0.27,215.51,-20.15,-9.35,971.51,1170,44.6,42,6,0.95,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,HNTUSDT,1171.75,1.75,0.15,215.51,-15.23,-7.07,971.47,1170,44.6,40,5,1.3,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,AXSUSDT,1183.51,13.51,1.15,121.72,-9.2,-7.56,1070.99,1170,44.6,42,7,1.26,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,MANAUSDT,1174.56,4.56,0.39,121.72,-8.24,-6.77,1061.08,1170,44.6,27,5,1.44,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,SYSUSDT,1198.75,28.75,2.46,68.12,-1.76,-2.58,1132.39,1170,44.6,77,7,0.87,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,BCHUSDT,1182.39,12.39,1.06,37.5,-0.81,-2.16,1145.7,1170,44.6,26,6,1.15,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,AMPUSDT,1179.52,9.52,0.81,68.12,-3.14,-4.61,1114.54,1170,44.6,28,6,1.18,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ZECUSDT,1192.39,22.39,1.91,68.12,-1.6,-2.35,1125.87,1170,44.6,65,6,0.94,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,FILUSDT,1178.3,8.3,0.71,215.51,-11.47,-5.32,974.26,1170,44.6,41,7,0.95,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ONEUSDT,1036.32,-133.68,-11.43,1169.52,-138.62,-11.85,5.42,1170,44.6,20,4,0.95,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,ETCUSDT,1175.26,5.26,0.45,215.51,-13.96,-6.48,973.71,1170,44.6,46,5,1.26,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,BATUSDT,1168.68,-1.32,-0.11,215.51,-16.98,-7.88,970.15,1170,44.6,35,7,0.83,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,EOSUSDT,1190.61,20.61,1.76,68.12,-2.26,-3.32,1124.75,1170,44.6,59,6,1.0,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,YFIUSDT,1155.82,-14.18,-1.21,379.64,-19.09,-5.03,795.27,1170,44.6,18,4,0.83,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,COMPUSDT,1180.28,10.28,0.88,215.51,-13.75,-6.38,978.52,1170,44.6,67,6,0.91,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,MKRUSDT,1078.3,-91.7,-7.84,666.87,-97.28,-14.59,508.71,1170,44.6,31,2,0.58,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,SKLUSDT,1226.4,56.4,4.82,68.12,-2.66,-3.9,1160.94,1170,44.6,145,7,1.03,2022-04-01 00:00:00,2022-04-26 17:49:00
euphoria,OGNUSDT,1198.85,28.85,2.47,379.64,-22.99,-6.06,842.2,1170,44.6,152,6,0.87,2022-04-01 00:00:00,2022-04-26 17:50:00
euphoria,ALGOUSDT,1178.17,8.17,0.7,68.12,-2.73,-4.01,1112.78,1170,44.6,14,6,1.64,2022-04-01 00:00:00,2022-04-26 17:50:00
euphoria,ZENUSDT,1183.84,13.84,1.18,68.12,-2.85,-4.18,1118.57,1170,44.6,24,7,1.29,2022-04-01 00:00:00,2022-04-26 17:50:00
euphoria,LPTUSDT,1189.27,19.27,1.65,37.5,-1.04,-2.77,1152.81,1170,44.6,50,6,1.06,2022-04-01 00:00:00,2022-04-26 17:50:00
euphoria,XLMUSDT,1171.51,1.51,0.13,121.72,-5.88,-4.83,1055.67,1170,44.6,16,5,1.12,2022-04-01 00:00:00,2022-04-26 17:50:00
